名称,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,24时,25时,26时,27时,28时,29时,质量差计数,缺失数据计数
学1栋1428室电表,0,0.43,0,0.16,0,0.14,0,0.17,0,0.67,0,0.42,0,0.62,0,0.47,0,0.69,0,1.82,0,1.81,0,1.39,0,0.7,0,0.18,0,0.14,0,0
学1栋1429室电表,0,1.4,0,1,0,0.93,0,0.58,0,0.17,0,0.08,0,0.42,0,0.25,0,0.04,0,0.58,0,0.51,0,0.87,0,1.18,0,1.21,0,1.09,0,0
学1栋1430室电表,0,0.86,0,0.1,0,0.03,0,0.02,0,0.05,0,0.04,0,0.38,0,0.24,0,0.48,0,1.44,0,1.61,0,1.39,0,1.01,0,0.54,0,0.24,0,0
学1栋1432室电表,0,0.58,0,0.57,0,0.32,0,0.07,0,0,0,0,0,0.46,0,0.5,0,0.6,0,0.52,0,1.15,0,1.09,0,0.81,0,0.22,0,0.15,0,0
学1栋1436室电表,0,0.04,0,0.02,0,0.03,0,0.03,0,0.01,0,0.02,0,1.06,0,0.95,0,1.82,0,0.66,0,1.35,0,1.64,0,0.27,0,0.02,0,0.02,0,0
学1栋1438室电表,0,0.15,0,0.1,0,0.09,0,0.07,0,0.05,0,0.02,0,0.42,0,0.57,0,1.01,0,0.49,0,1.04,0,0.76,0,0.11,0,0.09,0,0.08,0,0
学1栋1440室电表,0,0.07,0,0.05,0,0.04,0,0.04,0,0.06,0,0.02,0,0.52,0,0.52,0,0.22,0,0.83,0,0.94,0,0.91,0,0.05,0,0.05,0,0.03,0,0
学1栋1442室电表,0,0.19,0,0.04,0,0.03,0,0.04,0,0.02,0,0.02,0,0.65,0,0.46,0,0.41,0,0.65,0,1.66,0,1.11,0,0.72,0,0.31,0,0.03,0,0
学1栋1446室电表,0,0.08,0,0.09,0,0.08,0,0.12,0,0.11,0,0.08,0,0.36,0,0.14,0,0.53,0,0.87,0,1.46,0,1.13,0,0.29,0,0.16,0,0.15,0,0
学1栋1503室电表,0.52,0.42,0.26,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.02,0.01,0.16,0.07,0.05,0.04,0.05,0.07,0.59,0.64,0.39,0.35,0.36,0.3,0.2,0.05,0.02,0.02,0.04,0,0
学1栋1506室电表,0.56,0.52,0.22,0.06,0.06,0.04,0.03,0.03,0.05,0.06,0.03,0.01,0.01,0.32,0.21,0.06,0.04,0.04,0.09,0.46,0.36,0.45,0.65,0.54,0.65,0.51,0.39,0.06,0.03,0.06,0,0
学1栋1508室电表,0.55,0.2,0.17,0.12,0.03,0.03,0.03,0.02,0.03,0.05,0.01,0.02,0.01,0.1,0.12,0.05,0.04,0.04,0.1,0.26,0.17,0.3,0.51,0.62,0.32,0.28,0.38,0.29,0.19,0.03,0,0
学1栋1512室电表,0.42,0.43,0.07,0.05,0.01,0.02,0.02,0.02,0.04,0.02,0.03,0.04,0.04,0.27,0.17,0.02,0.01,0.01,0.06,0.45,0.32,0.82,0.68,0.52,0.4,0.18,0.04,0.01,0.02,0.01,0,0
学1栋1513室电表,0.35,0.08,0.01,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.33,0.33,0.09,0.08,0.08,0.11,0.41,0.49,0.66,0.56,0.44,0.29,0.06,0.03,0.02,0.01,0.02,0,0
学1栋1519室电表,0.19,0.08,0.09,0.11,0.07,0.06,0.05,0.05,0.09,0.31,0.18,0.19,0.17,0.11,0.14,0.04,0.04,0.03,0.07,0.34,0.2,0.29,0.54,0.47,0.2,0.08,0.05,0.06,0.04,0.04,0,0
学1栋1525室电表,0.32,0.28,0.07,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.19,0.18,0.05,0.26,0.32,0.43,0.38,0.51,0.72,0.7,0.67,0.75,0.73,0.55,0.21,0.1,0.05,0.04,0.02,0.03,0,0
学1栋1528室电表,0.3,0.26,0.23,0.23,0.28,0.23,0.22,0.23,0.08,0.17,0.33,0.04,0.01,0.06,0.31,0.05,0.01,0.18,0.27,0.43,0.29,0.39,0.43,0.33,0.17,0.16,0.25,0.28,0.16,0.04,0,0
学1栋1529室电表,0.38,0.15,0.1,0.03,0.04,0.05,0.04,0.03,0.18,0.39,0.53,0.13,0.09,0.47,0.59,0.14,0.11,0.1,0.35,0.47,0.33,0.67,0.82,0.92,0.49,0.22,0.16,0.1,0.08,0.09,0,0
